objectId,admin3_code,admin2_code,ACL,admin1_code,name,dem,latitude,population,updatedAt,alternatenames,longitude,feature_class,modification_date,cc2,country_code,feature_code,geonameid,timezone,createdAt,asciiname,elevation
LHMkGcU4Yc,21114,211,null,3,Zambujeira do Mar,45,37.52799,2011,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Zambujeira do Mar,-8.78483,P,2019-04-13,,PT,PPL,2261486,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Zambujeira do Mar,
kYiMr1ADIh,110114,1101,null,14,Vila Verde,189,39.15489,1162,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Vila Verde,Vila Verde dos Francos",-9.11512,P,2018-06-26,,PT,PPL,2261582,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Verde,
4MGmpAi7FG,110808,1108,null,14,Vimeiro,32,39.17768,1470,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Vimeiro,Vimieiro",-9.31702,P,2018-03-03,,PT,PPL,2261572,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vimeiro,
iz0uRoBdYO,71405,714,null,8,Vila Viçosa,403,38.7777,8319,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Vila Vicosa,Vila Viçosa",-7.41793,P,2017-11-09,,PT,PPLA2,2261577,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Vicosa,
Jp7dMbQVv4,81602,816,null,9,Vila Real de Santo António,9,37195,11560,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Bila Real nte Santo Antonio,Vila Real de San Antonio,Vila Real de San António,Vila Real de Santo Antonio,Vila Real de Santo António,Βίλα Ρεάλ ντε Σάντο Αντόνιο",-7.41766,P,2018-05-01,,PT,PPLA2,2261598,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Real de Santo Antonio,
nhbpkJO7PB,21111,211,null,3,Vila Nova de Milfontes,22,37.72377,4393,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Nova de Milfontes,-8.78278,P,2012-01-17,,PT,PPL,2261617,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Nova de Milfontes,
z8QNSFP3qk,140707,1407,null,18,Vila Nova da Barquinha,91,39.46081,7322,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Barquinha,Vila Nova da Barquinha",-8.43588,P,2018-05-23,,PT,PPLA2,2261620,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Nova da Barquinha,
WlLj58DmIM,111409,1114,null,14,Vila Franca de Xira,15,38.95525,18355,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Franca de Xira,-8.98966,P,2014-04-06,,PT,PPLA2,2261639,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Franca de Xira,
9MEF8WQdd2,51104,511,null,6,Vila Velha de Ródão,183,39.65646,3521,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Rodao,Vila Velha de Rodam",-7.6767,P,2018-06-27,,PT,PPL,2261584,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Velha de Rodao,
AUfc1Vrhyp,101002,1010,null,13,Vieira de Leiria,50,39.86945,5807,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Vieira,Vieira de Leiria",-8.93238,P,2012-01-17,,PT,PPL,2261673,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vieira de Leiria,
4wdNVCpXmB,51003,510,null,6,Vila de Rei,444,39.67604,3452,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Vila de Rei,Vila do Rei",-8.14577,P,2017-12-04,,PT,PPLA2,2261649,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila de Rei,
Efv2SIHJra,81505,815,null,9,Vila do Bispo,81,37.08317,1000,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Vila do Bispo,Vila-du-Bishpu,Villa do Bispo,Вила-ду-Бишпу",-8.91144,P,2018-06-27,,PT,PPLA2,2261648,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila do Bispo,
1edmJtF0dD,140607,1406,null,18,Vila Chã de Ourique,66,39.17219,2771,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),"Vila Cha de Ourique,Vila Chã de Ourique",-8.76658,P,2018-07-04,,PT,PPL,2261654,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vila Cha de Ourique,
CDIuJKgsws,21403,214,null,3,Vidigueira,211,38.20995,5932,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vidigueira,-7.8005,P,2018-04-30,,PT,PPLA2,2261675,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vidigueira,
SkoODmaOWC,71201,712,null,8,Vendas Novas,148,38.67706,11248,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vendas Novas,-8.45792,P,2014-04-06,,PT,PPLA2,2261740,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vendas Novas,
N7ls3G9Xr5,141624,1416,null,18,Vale de Figueira,58,39.30569,2000,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vale de Figueira,-8.62876,P,2018-06-15,,PT,PPL,2262189,Europe/Lisbon,Wed Nov 18 2020 14:26:51 GMT+0000 (Hora padrão da Europa Ocidental),Vale de Figueira,
